Date,Tool,Cost Bought,Sold Val,Profit Made,Sold Date,Shipping Info,Notes,Starting Price,HighestShip Num:,310,,,,,,
(BLANK),,,,,,,,,,,,,,,,
,Lincoln Buzzbox,125?,100,-25,,,,,,,,,,,,
,Reed Vise,50,,,,,,,,,,,,,,
,Hitachi Nail Gun,25,68,43,1/30/21,11,,75,,,,,,,,
,Shaper Blades,,,,,10,"Came w/ 6"" Metal Lathe",.99A,,,,,,,,
,Planer Blades - Helical,,85,85,2/17/21,12,,100,,,,,,,,
,Planer Blades - Straight,,95,95,5/2/21,13,,100,Shipping 60,,,,,,,
,Craftsman Wood Lathe,150,150,0,,,,,,,,,,,,
,"Craftsman 6"" Metal Lathe",225,560,335,,,,,,,,,,,,
,"Extra 6"" Craftsman Lathe Gears Qty:6 + 1 Spacer",,60,-125,2/4/21,34,"Rest of gear sold with 6"" Craftsman lathe",65,,,,,,,,
,Shopsmith Shaper Parts/Blades,,,,,33,,150,,,,,,,,
,1/4 hp. Motor,40,46,6,3/14/21,56,,80,,,,,,,,
,"Craftsman 10"" Metal Lathe",500,1000,500,,,,,,,,,,,,
,Craftsman Drill Press,15,,,,,Estate Sale in Des Plaines,,,,,,,,,
,Logan Lathe,800,,,,,Ron's,,,,,,,,,
,Clausing Mill,900,,,,,Ron's,,,,,,,,,
,Mastercraft 700R,,218,218,2/20/23,250,"Ron's, came with mill","34lbs, 17x12x11",,,,,,,,
,Stanley Bench Grinder,50,,,,,Ron's,,,,,,,,,
,Lot 2 Stanley Planes,30,,,,,,,,,,,,,,
,Stanley SH No. 4,,,,,,,,,,,,,,,
,Stanley No. 3,,15.5,,5/27/21,62,,,,,,,,,,
,Misc Tool Lots,40,117.75,77.75,,,,,,,,,,,,
,Box of Endmills,,,,,,,,,,,,,,,
,Box of Reamers,,,,,,,,,,,,,,,
,Gage Pin Set (Unmarked),,4.25,,2/6/21,15,,.99A,,,,,,,,
,Starrett Weber Gage Block Set (Few pieces + box),,113.5,,2/6/21,52,,.99A,,,,,,,,
,Mitutoyo Mic Set (0-6 in box W/ standards),150,,,,,From Wire Place on Elston,,,,,,,,,
,"Mitutoyo 7-8"" Mic",20,,,,2,,150,,,,,,,,
,"Mitutoyo 10-11"" Mic",20,,,,3,,150,,,,,,,,
,"Mitutoyo 12"" Dial Caliper",50,,,,,For Personal Use,,,,,,,,,
,"Mitutoyo 12"" Dial Caliper W/ Case",20,95,75,2/13/21,1,,110,,,,,,,,
,Indicating Mic,20,,,,,,,,,,,,,,
,"Fowler 1"" Indicating Mic",20,,,,,,,,,,,,,,
,"Craftsman 12"" Bandsaw",23,160,127,8/2/20,,Met Rudy at Estate sale!,,,,,,,,,
,"Craftsman 4"" Jointer",21,50,29,10/9/20,,"Sold to Sam, teacher",,,,,,,,,
,Canon AF35,10,,,,17,,100,,,,,,,,
8/3/20,"Snap-On 3/8"" Drive Set",150,(Gift) 0,,,,"Present for Jerome, from John Aple's Father (John), his pawn shop in Des Plaines, Alexander Pawn",,,,,,,,,
8/14,"Sargent 12"" Wing Dividers",1,,,,,,,,,,,,,,
8/15,Craftsman #4 Bench Plane,20,,,,4,Garage Sale - Margret,.99A,,,,,,,,
,Stanley 5 1/4 Bench Plane,20,70,50,1/31/21,5,,75,,,,,,,,
8/28,Morgan Vise - 150,80,,,,,"Jan, owner from ""Above & Beyone"", talked down from 150",,,,,,,,,
 ,"Misc tools (D-bits, allen keys)",20,,,,,,,,,,,,,,
9/5,Brass (40.0LBS),30,,,,,Ron's,,,,,,,,,
,"From Ron's Estate, All 1 purchace",200,,,,,Ron's,,,,,,,,,
,MHC Percision Paralell Set,,,,,,P789,,,,,,,,,
,Slitting Saws (41),,,,,,,,,,,,,,,
,Enco Mag Base,,,,,,"Model  300, just base part and small arm",,,,,,,,,
,"Ken-Oil O1 1/2""x5/8""x18""",,,,,,,,,,,,,,,
,Montgomery Transfer Punch Set,,,,,,,,,,,,,,,
,Bunting 1.5Lb Brass Hammer,,,,,,,,,,,,,,,
,Plumb 8oz Ball Peen Hammer,,,,,,,,,,,,,,,
,Millers Falls No. 37 Block Plane,,,,,,Original Box,,,,,,,,,
,"Starrett 39-8 Lock  8"" Caliper",,,,,,,,,,,,,,,
,"Starrett Inside Caliper 4""",,,,,,,,,,,,,,,
,"Starrett Outside Caliper 3""",,,,,,,,,,,,,,,
