2020-01-01,Lincoln Buzzbox,125,100,-25,,,,Starting Price: ,,
2020-01-01,Reed Vise,50,,,,,,Starting Price: ,,
2020-01-01,Hitachi Nail Gun,25,68,43,2021-01-30,11-A-1,,11\,Starting Price: 75,,
2020-01-01,Shaper Blades,,,,,10-A-1,,10\,Starting Price: .99A\,Came w/ 6\" Metal Lathe,,
2020-01-01,Planer Blades - Helical,,85,85,2021-02-17,12-A-1,,12\,Starting Price: 100,,
2020-01-01,Planer Blades - Straight,,95,95,2021-05-02,13-A-1,,13\, Shipping 60\,Starting Price: 100,,
2020-01-01,Craftsman Wood Lathe,150,150,0,,,,Starting Price: ,,
2020-01-01,Craftsman 6\" Metal Lathe,225,560,335,,,,Starting Price: ,,
2020-01-01,Extra 6\" Craftsman Lathe Gears Qty:6 + 1 Spacer,,60,-125,2021-02-04,34-A-1,,34\,Starting Price: 65\,Rest of gear sold with 6\" Craftsman lathe,,
2020-01-01,Shopsmith Shaper Parts/Blades,,,,,33-A-1,,33\,Starting Price: 150,,
2020-01-01,1/4 hp. Motor,40,46,6,2021-03-14,56-A-1,,56\,Starting Price: 80,,
2020-01-01,Craftsman 10\" Metal Lathe,500,1000,500,,,,Starting Price: ,,
2020-01-01,Craftsman Drill Press,15,,,,,,Starting Price: \,Estate Sale in Des Plaines,,
2020-01-01,Logan Lathe,800,,,,,,Starting Price: \,Ron's,,
2020-01-01,Clausing Mill,900,,,,,,Starting Price: \,Ron's,,
2020-01-01,Mastercraft 700R,,218,218,2023-02-20,250-A-1,,250\,Starting Price: 34lbs\, 17x12x11\,Ron's\, came with mill,,
2020-01-01,Stanley Bench Grinder,50,,,,,,Starting Price: \,Ron's,,
2020-01-01,Lot 2 Stanley Planes,30,,,,,,Starting Price: ,,
2020-01-01,Stanley SH No. 4,,,,,,,Starting Price: ,,
2020-01-01,Stanley No. 3,,15.5,,2021-05-27,62-A-1,,62\,Starting Price: ,,
2020-01-01,Misc Tool Lots,40,117.75,77.75,,,,Starting Price: ,,
2020-01-01,Box of Endmills,,,,,,,Starting Price: ,,
2020-01-01,Box of Reamers,,,,,,,Starting Price: ,,
2020-01-01,Gage Pin Set (Unmarked),,4.25,,2021-02-06,15-A-1,,15\,Starting Price: .99A,,
2020-01-01,Starrett Weber Gage Block Set (Few pieces + box),,113.5,,2021-02-06,52-A-1,,52\,Starting Price: .99A,,
2020-01-01,Mitutoyo Mic Set (0-6 in box W/ standards),150,,,,,,Starting Price: \,From Wire Place on Elston,,
2020-01-01,Mitutoyo 7-8\" Mic,20,,,,2-A-1,,2\,Starting Price: 150,,
2020-01-01,Mitutoyo 10-11\" Mic,20,,,,3-A-1,,3\,Starting Price: 150,,
2020-01-01,Mitutoyo 12\" Dial Caliper,50,,,,,,Starting Price: \,For Personal Use,,
2020-01-01,Mitutoyo 12\" Dial Caliper W/ Case,20,95,75,2021-02-13,1-A-1,,1\,Starting Price: 110,,
2020-01-01,Indicating Mic,20,,,,,,Starting Price: ,,
2020-01-01,Fowler 1\" Indicating Mic,20,,,,,,Starting Price: ,,
